,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
1185,21500€,42.009423,20.971549,BMW,M3,1997,Бензин,160000,Рачен,Седани,Сива,Македонска,102020,236kw/321ks,
1186,2400€,41.865485,21.940845,Opel,Astra,1999,Бензин/Плин,170000,Рачен,Каравани,Сива,Македонска,062020,74kw/101ks,
1187,1100€,42.009423,20.971549,Dacija,Другмодел,2003,Бензин/Плин,190000,Рачен,Седани,Црвена,Македонска,112019,54kw/73ks,
1188,1€,41.51282,20.96083,AlfaRomeo,Alfa147,2003,Дизел,75000,Рачен,Хеџбек,Сива,Странска,032019,85kw/116ks,
1189,1€,41.51282,20.96083,AlfaRomeo,Alfa147,2003,Бензин/Плин,190000,Полуавтоматски,Хеџбек,Сива,Странска,022019,1kw/1ks,
1190,1€,41.51282,20.96083,AlfaRomeo,Alfa147,2003,Дизел,15000,Рачен,Хеџбек,Сива,Странска,032019,103kw/140ks,
1191,1€,42.009423,20.971549,Fiat,Panda,2006,Бензин,100000,Рачен,Maлиградски,Сива,Македонска,092020,45kw/61ks,
1192,111€,41.9870695865131,21.4519291484375,Rover,75,2015,Дизел,,Автоматски,Седани,Црна,Македонска,012020,11kw/15ks,
1193,3300€,42.132926,21.715878,Fiat,Croma,2005,Дизел,160000,Рачен,Седани,Црна,Македонска,092020,110kw/150ks,
1194,111€,41.9870695865131,21.4519291484375,Jaguar,XF,2018,Дизел,5000,Автоматски,Седани,Црна,Македонска,022020,11kw/15ks,
1195,1111€,41.9870695865131,21.4519291484375,LandRover,Freelander,2001,Дизел,,Рачен,Седани,Црна,Македонска,022020,111kw/151ks,
1196,1234€,41.9870695865131,21.4519291484375,Rover,75,2007,Дизел,20000,Рачен,Седани,Црна,Македонска,012020,124kw/169ks,
1197,3800€,41.924335,22.404964,Seat,Leon,2006,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,012020,103kw/140ks,
1198,3650€,41.9870695865131,21.4519291484375,Renault,Scenic,2006,Дизел,130000,Рачен,Моноволумен,Сина,Македонска,042020,131kw/178ks,
1199,1€,41.9870695865131,21.4519291484375,Chevrolet,Lacetti,2005,Бензин/Плин,140000,Рачен,Хеџбек,Сина,Македонска,122019,69kw/94ks,
1200,2888€,42.009423,20.971549,VWVolkswagen,Golf,1998,Дизел,190000,Рачен,Хеџбек,Сина,Македонска,082020,110kw/150ks,
1201,6000€,41.51282,20.96083,Mercedes-Benz,320,2003,Дизел,250000,Автоматски,Седани,Црна,Македонска,082020,150kw/204ks,
1202,2700€,41.031728,21.329358,VWVolkswagen,Golf,2005,Дизел,200000,Рачен,Хеџбек,Сина,Странска,092020,77kw/105ks,
1203,По договор,41.949632,21.502494,Audi,A3,2006,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,012020,77kw/105ks,Еуро4
1204,750€,41.924335,22.404964,Fiat,Bravo,1996,Дизел,140000,Рачен,Maлиградски,Црвена,Македонска,012017,0kw/0ks,
1205,600000МКД,41.438304,22.004864,Renault,Latitude,2011,Дизел,200000,Рачен,Седани,Црна,Македонска,112019,110kw/150ks,
1206,650€,41.924335,22.404964,Fiat,Brava,1996,Бензин/Плин,140000,Рачен,Maлиградски,Сина,Македонска,012017,0kw/0ks,
1207,1МКД,41.924335,22.404964,Opel,Astra,2012,Дизел,130000,Рачен,Хеџбек,Сива,Македонска,122019,96kw/131ks,
1208,4900€,41.4392820311655,22.0037546393992,Nissan,Terrano,2002,Дизел,300000,Рачен,Теренци-SUV,Црвена,Македонска,112019,100kw/136ks,
1209,2200€,41.865485,21.940845,Hyundai,Getz,2005,Дизел,200000,Рачен,Maлиградски,Сина,Македонска,012020,60kw/82ks,
1210,По договор,42.132926,21.715878,Jeep,GrandCherokee,2003,Дизел,250000,Автоматски,Теренци-SUV,Сива,Македонска,012019,163kw/222ks,
1211,5000€,41.0339166231429,21.3315010070801,Audi,A3,2004,Дизел,200000,Рачен,Купеа,Црна,Македонска,032018,103kw/140ks,
1212,1€,41.346182,21.553379,Mercedes-Benz,C220,2005,Дизел,200000,Рачен,Седани,Сива,Македонска,102020,125kw/170ks,
1213,1500€,42.0597466973011,21.4491164774042,BMW,525,1996,Дизел,250000,Рачен,Седани,Сива,Македонска,012019,105kw/143ks,
1214,5100€,41.9920456041662,21.4840512835999,AlfaRomeo,MiTo,2009,Бензин,130000,Рачен,Maлиградски,Црвена,Македонска,062020,58kw/79ks,
1215,3800€,41.031728,21.329358,Audi,A4,2003,Дизел,250000,Рачен,Каравани,Сина,Македонска,052020,96kw/131ks,
1216,2850€,41.111733,20.798579,Audi,A3,1999,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,032020,81kw/110ks,
1217,5299€,42.205478,22.333429,Audi,A3,2006,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,012018,103kw/140ks,
1218,4600€,42.205478,22.333429,Seat,Altea,2005,Дизел,190000,Рачен,Моноволумен,Сива,Македонска,012018,103kw/140ks,
1219,5000€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2005,Дизел,190000,Рачен,Седани,Сива,Македонска,012019,77kw/105ks,
1220,2500€,41.9870695865131,21.4519291484375,BMW,520,2000,Дизел,200000,Рачен,Седани,Сива,Македонска,082020,100kw/136ks,
1221,3999€,41.346182,21.553379,VWVolkswagen,Polo,2007,Дизел,40000,Рачен,Maлиградски,Сина,Македонска,062019,59kw/80ks,
1222,1€,41.924335,22.404964,VWVolkswagen,Sharan,2003,Дизел,200000,Рачен,Моноволумен,Бела,Македонска,042020,0kw/0ks,
1223,4500€,41.745515,22.19396,Mercedes-Benz,E220,2002,Дизел,300000,Рачен,Седани,Црна,Македонска,082020,110kw/150ks,
