,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
1135,По договор,41.745515,22.19396,6,200m²,2спрата,Дрва,200m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Тераса,1,Не,1Паркинг,Запад,,Лакаваица,
1136,53000€,41.715954,21.770997,6,100m²,2спрата,Централно,100m²,Двo-семејнакуќа,Реновирана,Полунаместен,2Балкони,2,Да,Гаража+2Паркингместа,Југозапад,1990,todorjanevgradinkata,2010
1137,По договор,41.9870695865131,21.4519291484375,5,71m²,Високоприземје,Струја,31m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Да,1Паркинг,Исток,,EK,
1138,235000€,41.949632,21.502494,5,203m²,1спрат,Струја,400m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Тераса,2,Да,1Паркинг,Југоисток,2002,ulSveteSimica,
1139,145000€,42.013646,21.32586,4,129m²,Приземје,Нема,806m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Повеќеод4паркингместа,Северозапад,1960,kuzmankapidan,1990
1140,230000€,42.009423,20.971549,6,112m²,1спрат,Дрва,336m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,3Балкони,2,Да,3Паркингместа,Југ,,STROGCENTAR,
1141,255000€,42.009423,20.971549,10,280m²,2спрата,Централно,187m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,4Балкони,2,Да,2Паркингместа,Југ,1980,VoblizinanaTETOVCANKA,2005
1142,246500€,42.009423,20.971549,10,300m²,2спрата,Централно,30m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,4Балкони,3,Да,2Паркингместа,Југ,,ul29NOEMVRI,
1143,341990€,42.009423,20.971549,9,270m²,2спрата,Централно,180m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,4Балкони,2,Да,2Паркингместа,Исток,1980,AJDUCKOMAALO,1990
1144,45000€,42.009423,20.971549,45,116m²,1спрат,Дрва,20m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,3Балкони,1,Да,1Паркинг,Исток,,nasPEVCINA,
1145,149500€,42.009423,20.971549,7,220m²,2спрата,Струја,100m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,2Балкони,2,Да,2Паркингместа,Запад,,ULGOCEDELCEV,
1146,21000€,41.031728,21.329358,45,80m²,2спрата,Дрва,1300m²,Вила,Реновирана,Наместен,2Балкони,1,Да,Гаража+1Паркинг,Југозапад,,Битола,
1147,6000€,41.715954,21.770997,3,600m²,Приземје,Нема,600m²,Вила,Воградба,Празен,Нема,1,Не,1Паркинг,Исток,,,
1148,1€,41.715954,21.770997,3,500m²,1спрат,Нема,200m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,1,Да,1Гаража,Запад,,MILANSTRACKOV8,
1149,1€,41.111733,20.798579,5,150m²,2спрата,Дрва,130m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Да,1Паркинг,Југозапад,,BoroSain36,
1150,165000€,41.9762089680223,21.4292762751465,5,136m²,Високоприземје,Нема,100m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,1Балкон,2,Да,1Паркинг,Југ,,СлавејкоАрсовбр5,
1151,28000€,41.515718,21.949554,4,100m²,Приземје,Дрва,1000m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Да,4Паркингместа,Југ,1970,/,
1152,По договор,41.993825,21.436139,6,200m²,Приземје,Нема,700m²,Двo-семејнакуќа,Стара,Полунаместен,1Тераса,2,Не,4Паркингместа,Север,,,
1153,250000€,41.111733,20.798579,8,220m²,1спрат,Друго,720m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,2Балкони,2,Да,Повеќеод4паркингместа,Запад,,Pestani,
1154,62000€,41.801881,20.913259,4,150m²,2спрата,Дрва,162m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,1,Да,1Паркинг,Југ,1970,DrageTodorovski38B,2002
