,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
155,3100€,41.9870695865131,21.4519291484375,Toyota,Aygo,2006,Дизел,Рачен,Maлиградски,Црна,Македонска,122021,40kw/54ks,Еуро5,150000
156,1350€,41.440569,22.639528,VWVolkswagen,Golf,1998,Дизел,Рачен,Теренци-SUV,Црна,Странска,042019,66kw/90ks,Еуро3,160000
157,25€,41.715954,21.770997,Chevrolet,Spark,2006,Бензин/Плин,Рачен,Maлиградски,Жолта,Македонска,052021,43kw/58ks,Еуро3,5000
158,По договор,41.9870695865131,21.4519291484375,Daewoo,Nexia,1995,Бензин,Рачен,Maлиградски,Црвена,Македонска,102018,55kw/75ks,Останато,90000
159,2500€,41.711096,22.848172,AlfaRomeo,Alfa147,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,112021,88kw/120ks,Еуро4,150000
160,9500€,41.9870695865131,21.4519291484375,Nissan,Pathfinder,2007,Дизел,Рачен,Теренци-SUV,Бела,Македонска,122018,126kw/171ks,Еуро4,190000
161,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2009,Дизел,Автоматски,Каравани,Црна,Македонска,102020,105kw/143ks,Еуро5,190000
162,4€,41.340988825016,21.5473630901971,VWVolkswagen,GolfPlus,2005,Дизел,Рачен,Хеџбек,Црна,Македонска,122021,77kw/105ks,Еуро4,170000
163,10600€,42.1891362752579,22.3024012061157,Peugeot,2008,2015,Дизел,Полуавтоматски,Теренци-SUV,Сива,Македонска,122020,75kw/102ks,Еуро6,80000
164,2850€,41.438304,22.004864,Ford,Fiesta,2006,Дизел,Рачен,Maлиградски,Сива,Македонска,122021,66kw/90ks,Еуро4,190000
165,2199€,41.9870695865131,21.4519291484375,Ford,Focus,2002,Дизел,Рачен,Хеџбек,Сина,Македонска,082021,87kw/118ks,Еуро3,250000
166,1€,41.14712,22.507161,VWVolkswagen,Golf,2001,Дизел,Рачен,Хеџбек,Сива,Македонска,082020,81kw/110ks,Еуро3,200000
167,1900€,41.715954,21.770997,Ford,Focus,2002,Дизел,Рачен,Хеџбек,Црна,Македонска,032021,85kw/116ks,Еуро2,190000
168,1€,42.009423,20.971549,VWVolkswagen,Passat,2001,Дизел,Автоматски,Каравани,Златна,Македонска,122021,96kw/131ks,Еуро4,200000
169,5700€,41.9870695865131,21.4519291484375,Seat,Leon,2006,Дизел,Рачен,Седани,Сива,Македонска,012020,77kw/105ks,Еуро4,190000
170,70259506€,41.346182,21.553379,VWVolkswagen,Polo,2008,Дизел,Рачен,Maлиградски,Сина,Македонска,122021,55kw/75ks,Еуро4,110000
171,1€,42.00877,21.45126,Toyota,Aygo,2007,Бензин,Автоматски,Хеџбек,Сива,Македонска,012021,50kw/68ks,Еуро4,130000
172,2000€,41.031728,21.329358,VWVolkswagen,Polo,1998,Бензин,Рачен,Maлиградски,Зелена,Македонска,072021,37kw/50ks,Еуро3,190000
173,2700€,41.440569,22.639528,BMW,320,2005,Дизел,Рачен,Седани,Црна,Странска,012021,163kw/222ks,Еуро5,190000
174,По договор,41.438304,22.004864,Mercedes-Benz,C270,2002,Дизел,Автоматски,Седани,Сива,Странска,052020,125kw/170ks,,160000
175,1€,41.9870695865131,21.4519291484375,Audi,A6,2011,Дизел,Автоматски,Седани,Сива,Македонска,012021,180kw/245ks,Еуро6,200000
