,price,make,model,year,fuel,distance_in_km,transmission,type,color,registration,registered_till,HP,standard,KW
392,По договор,Mercedes-Benz,E290,1998,Дизел,150000,Автоматски,Седани,Зелена,Странска,42020,3,Еуро2,2
396,По договор,Renault,GrandScenic,2010,Дизел,180000,Рачен,Моноволумен,Златна,Македонска,12021,131,Еуро5,96
398,По договор,VWVolkswagen,Golf,2005,Дизел,160000,Рачен,Хеџбек,Црна,Македонска,112020,140,Еуро4,103
423,По договор,Fiat,Sedici,2007,Дизел,170000,Рачен,Теренци-SUV,Црна,Странска,102021,120,Еуро4,88
432,По договор,VWVolkswagen,Golf,2007,Бензин,140000,Рачен,Хеџбек,Црна,Македонска,12021,105,Еуро4,77
439,По договор,BMW,525,1997,Дизел,200000,Автоматски,Седани,Бела,Македонска,22022,143,Останато,105
447,По договор,Seat,Ibiza,2008,Бензин,150000,Рачен,Хеџбек,Сива,Странска,82021,90,Еуро4,66
470,По договор,VWVolkswagen,Sharan,2009,Дизел,190000,Рачен,Моноволумен,Сина,Македонска,82022,120,Еуро4,88
501,По договор,VWVolkswagen,Golf,2006,Дизел,200000,Рачен,Maлиградски,Црна,Македонска,511625,105,Еуро5,77
517,По договор,Seat,Leon,2005,Бензин,180000,Рачен,Хеџбек,Црна,Странска,92021,102,Еуро4,75
531,По договор,Mini,CooperD,2011,Дизел,190000,Рачен,Maлиградски,Црна,Македонска,52022,109,Еуро5,80
545,По договор,Ford,Mondeo,1993,Бензин,300000,Рачен,Седани,Сина,Македонска,62021,136,Еуро2,100
576,По договор,Renault,Espace,2000,Бензин/Плин,300000,Рачен,Моноволумен,Сива,Македонска,122021,141,Еуро3,104
595,По договор,Fiat,Panda,2007,Бензин,160000,Рачен,Maлиградски,Сива,Македонска,32021,54,Еуро4,40
602,По договор,Ford,Mondeo,1996,Бензин/Плин,50000,Рачен,Каравани,Бела,Македонска,42022,245,Останато,180
621,По договор,BMW,X5,2008,Дизел,200000,Автоматски,Теренци-SUV,Сива,Македонска,112022,231,Еуро4,170
